Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:657 | Test PESQ:1.045 | Test CSIG:1.017 | Test CBAK:1.069 | Test COVL:1.002
Epoch:658 | Test PESQ:1.044 | Test CSIG:1.001 | Test CBAK:1.026 | Test COVL:1.000
Epoch:659 | Test PESQ:1.045 | Test CSIG:1.007 | Test CBAK:1.060 | Test COVL:1.001
Epoch:660 | Test PESQ:1.050 | Test CSIG:1.008 | Test CBAK:1.039 | Test COVL:1.001
Epoch:661 | Test PESQ:1.047 | Test CSIG:1.008 | Test CBAK:1.050 | Test COVL:1.001
Epoch:662 | Test PESQ:1.043 | Test CSIG:1.011 | Test CBAK:1.062 | Test COVL:1.001
Epoch:663 | Test PESQ:1.048 | Test CSIG:1.002 | Test CBAK:1.038 | Test COVL:1.001
Epoch:664 | Test PESQ:1.048 | Test CSIG:1.004 | Test CBAK:1.034 | Test COVL:1.001
Epoch:665 | Test PESQ:1.044 | Test CSIG:1.006 | Test CBAK:1.084 | Test COVL:1.001
Epoch:666 | Test PESQ:1.050 | Test CSIG:1.004 | Test CBAK:1.033 | Test COVL:1.000
Epoch:667 | Test PESQ:1.049 | Test CSIG:1.007 | Test CBAK:1.061 | Test COVL:1.001
Epoch:668 | Test PESQ:1.049 | Test CSIG:1.007 | Test CBAK:1.043 | Test COVL:1.001
Epoch:669 | Test PESQ:1.044 | Test CSIG:1.007 | Test CBAK:1.068 | Test COVL:1.000
Epoch:670 | Test PESQ:1.046 | Test CSIG:1.005 | Test CBAK:1.058 | Test COVL:1.000
Epoch:671 | Test PESQ:1.043 | Test CSIG:1.003 | Test CBAK:1.053 | Test COVL:1.000
Epoch:672 | Test PESQ:1.049 | Test CSIG:1.002 | Test CBAK:1.027 | Test COVL:1.000
Epoch:673 | Test PESQ:1.049 | Test CSIG:1.002 | Test CBAK:1.038 | Test COVL:1.000
